"dc:title","dcterms:alternative","dc:creator","dc:subject","dc:description","dc:publisher","dc:contributor","dc:type","dc:format","dc:identifier","dc:source","dc:language","dcterms:isPartOf","dcterms:spatial","dcterms:temporal","dc:rights","1000_pixel_jpg","150_pixel_jpg","SLQ_Digitool_viewer"
"Map for the auction of the Baroona Estate 28 November 1885 ?","","Unidentified","land sales land auctions maps building blocks Bardon (Brisbane, Qld.)","","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 196464 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Bardon, Brisbane, Queensland; -27.45804,152.986771","ca. 1885","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=194992&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=194993","http://hdl.handle.net/10462/deriv/115064"
"Racecourse Estate Map, Coorparoo, Brisbane, 1919","","Unidentified","maps land sales land auctions Brisbane - Suburbs - Coorparoo, 1919 Coorparoo (Brisbane, Qld.)","This estate map is advertising the auction of the 4th section of Racecourse Estate, Coorparoo. The area where the land is to be auctioned is bounded by Cavendish Road, Cleveland Road and Jellicoe Street. The poster advertises 115 superb residential sites for public auction on Saturday 5th April 1919 at 3 pm. This digitised photograph has been dedicated to : Mrs Patricia Ryan, in recognition of her donation to the Imagine Community Campaign, 2006.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 186938 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Coorparoo, Brisbane, Queensland; -27.49395,153.060089","1919","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=196160&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=196161","http://hdl.handle.net/10462/deriv/93862"
"Estate map of Bishop's Hill, Petrie Terrace, Brisbane, 1883","","Unidentified","maps plans land sales land auctions suburbs Brisbane - Suburbs - Petrie Terrace, 1883 Petrie Terrace (Brisbane, Qld.)","Caption on map: Auction Sale. Business & Building Sites, Petrie Terrace. Bishop's Hill, Petrie Terrace. To be sold at Arthur Martin & Co. City Auction Mart, on Saturday 10th Feb 1883. Hamilton & Raff Licensed Surveyors. Streets appearing on the map include Wellington Parade, Arthur Street, Mountjoy Place, Belgrave Place, Clyde Street, Clarendon Parade, Elston Terrace, and Kenington Place.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: estate map : b&w","Negative number: 187083 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Petrie Terrace, Brisbane, Queensland; -27.459822,153.014603","1883","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=196420&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=196421","http://hdl.handle.net/10462/deriv/93799"
"Estate map for Pacific Ocean Estate, Southport, 1915","","Unidentified","maps land auctions land sales building blocks Southport (Qld.)","Real Estate map advertising the sale of land by auction at Southport. Map shows the land subdivisions and four photographs: Southport High School, a scrub scene on the estate, Myer's Ferry adjoining the estate,and the old Burleigh coach passing the estate. The auctioneers were Newman & Dawber.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: estate map : col","Negative number: 185601 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Southport, Queensland; -27.96553,153.415558","14 August 1915","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=198160&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=198161","http://hdl.handle.net/10462/deriv/94730"
"Estate map for Rougham Estate in Windsor, Brisbane, 1920","","Unidentified","suburbs maps land sales building blocks Brisbane - Suburbs - Windsor, 1920 Windsor (Brisbane, Qld.)","Land for sale in October 1920 at Rougham was advertised as being 'High up out of the dust & noise on the N.E. Slopes of Eildon Hill, Windsor'. Isles, Love & Co., Auctioneers.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 186064 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Windsor, Brisbane, Queensland; -27.437719,153.028595","October 1920","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=199984&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=199985","http://hdl.handle.net/10462/deriv/97488"
"Estate map of the Vaughan Estate, Redcliffe, 1890-1900","","Unidentified","maps land sales building blocks Redcliffe (Qld.)","","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: estate map : col","Negative number: 187849 ","Copied and digitised from an original map: ME0664 Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Redcliffe, Queensland; -27.22217,153.107224","1890-1900","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=200852&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=200853","http://hdl.handle.net/10462/deriv/96447"
"Plan of Sefton Estate, Clayfield, Brisbane","","Unidentified","maps building blocks land sales land auctions suburbs Clayfield (Qld.)","Plan of Sefton Estate, Clayfield, advertising an auction of plots on 3 October, 1885?","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: estate map : col","Negative number: 187850 ","Copied and digitised from an original map: ME0393 Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Clayfield, Queensland; -27.41213,153.05899","1885?","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=202460&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=202461","http://hdl.handle.net/10462/deriv/98735"
"Land sale handbill of Riverview Estate off Dornoch Terrace, Highgate Hill , Brisbane, 1928","","Unidentified","maps advertisments land sales graphics Brisbane - Suburbs - Highgate Hill, 1928 Highgate Hill (Brisbane, Qld.)","Advertisement of a land sale in the suburb of Highgate Hill. The text reads that the land was previously known as O'Reilly's property and speaks of 'entrancing views of the river' in 'the midst of the ELITE of South Brisbane'. The land auction was held at 3.00pm on 31 March 1928. The terms and conditions of purchase were printed on the handbill along with a sketch of recreational boating and a drawing to depict homes already established on Dornoch Terrace.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 191100 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Highgate Hill, Brisbane, Queensland; -27.487181,153.017548","1928","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=206494&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=206495","http://hdl.handle.net/10462/deriv/125899"
"Survey plan for the area of the Tabragalba Estate in Tabragalba Parish, Gold Coast Shire","","Blakeney, H. G.","maps measured drawings Canungra District Tabragalba (Qld.)","Tabragalba was named and bounded by Minister for Natural Resources 24 April 1997. Derived from pastoral run name (early 1840s) and Parish name, which came from Bundjalung language, Yugumbir dialect, Wangerriburra Clan, dhaberi gaba. (Information taken from:Department of Lands Placenames Database, retrieved 11 May 2005, from http://www.nrm.qld.gov.au/property/placenames) The survey map outlines the properties between the Coburg River and the Albert River, south of Tambourine.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 195248 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: 77-5-2 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Tabragalba, Queensland; -27.98867,153.052353","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=214457&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=214458","http://hdl.handle.net/10462/deriv/137066"
"Plan of the West End Estate, South Brisbane being portions 70, 71, & 84 /","","Unidentified","maps West End (Qld.)--Maps--Real property","Plan of allotments to be sold 12th December, 1863.","John Oxley Library, State Library of Queensland","Landsberg, Leopold Franz","image","Digital format: image/jpeg Original format: 1 estate map ; 31 x 36 cm","Image number: 697757 ","Copied and digitised from Plan of the West End Estate, South Brisbane being portions 70, 71, & 84 / Trundle and Cameron, Auctioneers ; L. F. Landsberg, Surveyor Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 697757 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","West End (Brisbane, Qld.)","","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262633&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262634","http://hdl.handle.net/10462/deriv/18683"
"Estate map of Bishop's Hill, Petrie Terrace, Brisbane, Queensland, 1883","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Petrie Terrace (Brisbane, Qld.)","Plan of allotments to be sold 10th February, 1883 by Arthur Martin & Co., auctioneers. The surveyors were Hamilton & Raff. The map shows streets adjacent to Petrie Terrace and what is now known as Musgrave Road, including Mountjoy Street, Wellington Street, Belgrave Street, Cyde Street, Elston Street and Keningston Place (later known as Kensington Parade).","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 698602 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 698602 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Petrie Terrace, Brisbane, Queensland; -27.459822,153.014603","1883","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262637&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262638","http://hdl.handle.net/10462/deriv/18291"
"Estate map of the town of Nudgee, Brisbane, Queensland, 1883","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Nudgee (Qld.)","Estate map showing allotments to be sold on the 3rd November 1883 by David Love, Auctioneer. The land was known as Mr James Robinson's farm and was situated opposite the Nudgee Railway Station.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 702904 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 702904 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Nudgee, Brisbane, Queensland; -27.365601,153.091614","1883","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262641&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262642","http://hdl.handle.net/10462/deriv/18294"
"Estate Map of Aitkenvale Estate, Townsville, Queensland, 1883","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Townsville--Maps Aitkenvale (Qld.)","Estate map showing plan of allotments to be sold by auction on 30th November, 1883 by Smith and Walker, government auctioneers. The land for sale is between the main Charters Towers and Townsville road and Ross River.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 702966 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 702966 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Aitkenvale, Townsville, Queensland; -19.2953,146.767456","1883","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262645&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262646","http://hdl.handle.net/10462/deriv/18297"
"Estate map of Paddington, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Paddington (Brisbane, Qld.)","Plan of allotments hand drawn in ink. The land for sale is beside Given Terrace and Princess Street. Some of the owners of the surrounding allotments are listed, such as P. Mayne and J. Voller.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 702974 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 702974 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Paddington, Brisbane, Queensland; -27.46195,153.006683","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262649&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262650","http://hdl.handle.net/10462/deriv/18300"
"Estate map of German Station Estate, Nundah, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Nundah (Qld.)","The map shows the plan of allotments adjacent to Sandgate Road to be sold on the 10th June by David Love. The land was surveyed by R. D. Graham. The German Station Estate was in the area later known as Nundah.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703065 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703065 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Nundah, Brisbane, Queensland; -27.40196,153.059998","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262653&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262654","http://hdl.handle.net/10462/deriv/18303"
"Estate map of the town of Sandgate, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Sandgate--Maps Sandgate (Qld.)","Estate map of Sandgate showing allotments to be sold by William Potts, Queen Street, Brisbane. The estate was situated between the Esplanade and Bald Hills Road near the proposed railway terminus.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703077 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703077 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Sandgate, Brisbane, Queensland; -27.3158,153.066299","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262661&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262662","http://hdl.handle.net/10462/deriv/18308"
"Estate map of 128 acres of land in Kelvin Grove, Three Mile Scrub, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Kelvin Grove (Qld.)","Map showing original government allotments in Kelvin Grove to be sold by J. R. Dickson.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703078 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703078 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Kelvin Grove, Brisbane, Queensland; -27.44536,153.009308","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262665&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262666","http://hdl.handle.net/10462/deriv/18311"
"Estate map of Goldicott Toowong Estate, Toowong, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Toowong (Qld.)","Plan showing 29 allotments and Goldicott House to be sold on the 31st May by Isles, Love & Co., auctioneers. The land was surveyed by H. Raff. The allotments adjoined Sherwood Road.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703101 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703101 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Toowong, Brisbane, Queensland; -27.478519,152.985626","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262669&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262670","http://hdl.handle.net/10462/deriv/18314"
"Estate map of Rosemount Estate, Windsor, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Windsor (Qld.)","Map showing land for sale in the Rosemount Estate, Windsor. The allotments were to be sold on the 25th October by J. R. Dickson, auctioneer. The scale of the map was two chains to the inch. The estate was located between Gympie Road and Enoggera Creek.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703103 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703103 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Windsor, Brisbane, Queensland; -27.437719,153.028595","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262673&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262674","http://hdl.handle.net/10462/deriv/18317"
"Estate map of superior buliding sites in North Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Fortitude Valley (Qld.)","Real estate map showing allotments offered for sale by James R. Dickson. The land adjoins Ann Street and the Wesleyan Church Reserve.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703106 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703106 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Fortitude Valley, Brisbane, Queensland; -27.458139,153.035324","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262677&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262678","http://hdl.handle.net/10462/deriv/18320"
"Estate map of Grenier's Estate, South Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps South Brisbane (Qld.)","Hand drawn plan of allotments. The estate area includes part of Highgate Hill and West End.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703119 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703119 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","South Brisbane, Queensland; -27.474492,153.017391","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262681&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262682","http://hdl.handle.net/10462/deriv/18323"
"Estate map of the township of Moodarewa, Stradbroke Island, Queensland, 1880","","Unidentified","plans maps posters land sales land auctions building blocks (land) Real Property--Queensland--Stradbroke Island--Maps Stradbroke Island (Qld.)","Plan of allotments to be sold on South Stradbroke Island, county of Stanley, parish of Currigee.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703121 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703121 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Stradbroke Island, Queensland; -27.56435,153.469803","1880","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262685&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262686","http://hdl.handle.net/10462/deriv/18326"
"Estate map of the subdivisional sale of Brisbane city freeholds, Brisbane, Queensland, 1908","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Brisbane (Qld.)","Estate map showing allotments to be sold at the Post Office Auction Mart, 3rd August, 1908. The plan covered an area around Queen Street, Eagle Street, Wharf Street and Adelaide Street. The Auctioneers for the sale were Isles, Love and Co. The surveyer for the estate was H. Raff, Central Chambers Queen Street.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703126 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703126 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Brisbane, Queensland; -27.46888,153.022827","August, 1908","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262689&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262690","http://hdl.handle.net/10462/deriv/18329"
"Estate map of Section XII, North Brisbane, Queensland, 1881","","Unidentified","plans maps suburbs land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Brisbane (Qld.)","Estate map showing Brisbane city allotments to be sold in area between Queen Street, Albert Street, George Street and Burnett Lane. The plan shows the Town Hall on Queen Street. The estate was auctioned by Isles, Love & Co. The land was surveyed by H. Raff.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703186 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703186 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Brisbane, Queensland; -27.46888,153.022827","1881","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262693&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262694","http://hdl.handle.net/10462/deriv/18332"
"Map of the Woolloongabba Estate, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Woolloongaba--Maps Woolloongabba (Qld.)","Estate map showing the plan of allotments in Woolloongabba to be auctioned in the Town Hall by John Cameron. The estate covers an area between Logan Road, Ipswich Road and Balaclava Street, Woolloongabba.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703187 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703187 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Woolloongabba, Brisbane, Queensland; -27.489111,153.035843","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262697&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262698","http://hdl.handle.net/10462/deriv/18335"
"Estate map of the Breakfast Creek Estate, Hamilton, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Real Property--Queensland--Brisbane--Maps Hamilton (Qld.)","Estate map showing allotments to be sold on the 18th November by John Cameron, auctioneer. The land covered an area adjacent to Eagle Farm Road (later known as Kingsford Smith Road). The plan includes a sketch of the local area.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703193 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703193 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Hamilton, Brisbane, Queensland; -27.4375,153.064606","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262701&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262702","http://hdl.handle.net/10462/deriv/18338"
"Estate map for Sparkling Wave Estate, Southport, Queensland, 1882","","Unidentified","plans maps posters land sales land auctions building blocks (land) Real Property--Queensland--Southport--Maps Southport (Qld.)","Estate map showing allotments to be sold on the 2nd December, 1882 by John Cameron, Auctioneer. The estate covered an area around Lawson Street, White Street, High Street, Garden Street and Scarborough Street in Southport. The auction was held in Ipswich.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Image number: 703196 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 703196 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Southport, Queensland; -27.96553,153.415558","December, 1882","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262705&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262706","http://hdl.handle.net/10462/deriv/18341"
"Plan of building sites, Corunna Estate, portion 149, Enoggera","","Unidentified","maps Albion (Qld.)--Maps--Real property","Plan of allotments to be sold 27th September, 1880. Estate covers area now in Albion. Auctioneer: John Cameron.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: 1 estate map ; 54 x 41 cm.","Image number: 704091 ","Copied and digitised from Plan of building sites, Corunna Estate, portion 149, Enoggera Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 704091 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Albion (Qld.)","","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262709&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262710","http://hdl.handle.net/10462/deriv/18685"
"[Corunna Estate, portion 149, parish of Enoggera] :","","Unidentified","maps Windsor (Qld.)--Maps--Real property","Plan of allotments to be sold. Estate covers area now in Albion and Windsor. Hand drawn in ink and pencil.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: 1 estate map ; 40 x 25 cm","Image number: 704092 ","Copied and digitised from [Corunna Estate, portion 149, parish of Enoggera] : Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 704092 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Windsor (Qld.)","","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262713&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=262714","http://hdl.handle.net/10462/deriv/18686"
