Title,Description,Lat,Lon,Link,ID
"The Richmond Estate, Kedron","Plan of allotments to be sold 14th April, 1928.",-27.403718,153.027234,http://hdl.handle.net/10462/deriv/252488,996971944702061
"Shaw's Estate, Kedron","Plan of allotments to be sold (undated).;Estate covers the present areas of Kedron and Wavell Heights.;Land for sale is subdivisions and resubdivisions of portions 2 & 3, parish of Kedron. County of Stanley.",-27.406801,153.034684,http://hdl.handle.net/10462/deriv/251856,996971914702061
Plan of nine grazing and agricultural farms adjoining Beaudesert township,"Land for sale is part of portions nos. 72, 92, 96, 98, & 107.;Plan of allotments to be sold Tuesday, 17th December, 1901.",-27.994321,153.007311,http://hdl.handle.net/10462/deriv/253894,996976884702061
Landsborough Township Estate,"Plan of allotments to be sold Saturday, 24th September, 1927.;Land for sale comprises 63 business & residential sites and 18 farming blocks.;""A wonderful opportunity for the investor"" -- Subtitle.",-26.80572,152.971176,http://hdl.handle.net/10462/deriv/253871,996976954702061
"Marara Estate, Windsor","Plan of allotments to be sold Saturday, 25th August, 1928.;Land for sale is resubdivisions 1 to 7 of subdivision 2A of resubdivision 1 of subdivision 3 of portion 14. Parish of Enoggera.",-27.439579,153.031375,http://hdl.handle.net/10462/deriv/253902,996976994702061
[Dutton Park Estate],Plan of allotments to be sold.;Estate covers area now in Fairfield.;Map is hand drawn in pencil.,-27.503033,153.024187,http://hdl.handle.net/10462/deriv/264298,996977524702061
"Sketch map of portions 61, 62, ..., parish of Murgon, portions 168 & 169, parish of Goomeribong & portions 49, 50 & 53, parish of Barambah ... county of Fitzroy ...","Plan of allotments to be sold Thursday, 5th July, 1906.;Omitted parts of title: portions 61, 62, 79, 84, 88 to 95, 109 to 111, 115, 116, 119, 120, 122, 125, 134, 135, 151, 152, 157, 158 & 163 ... on the resumed parts of Boonara & Barambah runs ... Gympie land agent's district, shire of Kilkivan.",-26.298802,152.169946,http://hdl.handle.net/10462/deriv/264327,996977344702061
Plan of Wynnum,"Plan of allotments to be sold by auction, 10th December, -, [map signed 11/8/11]",-27.436634,153.169503,http://hdl.handle.net/10462/deriv/264335,996977414702061
Moorooka Park [Estate],"Plan of allotments to be sold Saturday 2nd March, 1889.;With coloured sketch of area.;Land for sale is 329 allotments being resubdivisions 3, 4, 13 to 17, 23 & 22 of portions 158 & 161, Parish of Yeerongpilly.;""The property of the Queensland Deposit Bank & Building Society (Limtd.)",-27.535867,153.018753,http://hdl.handle.net/10462/deriv/264344,996977454702061
"Tracing of resubs. 53 to 62 ... portion 54, parish of Bulimba, County of Stanley",Plan of allotments to be sold.,-27.531901,153.018397,http://hdl.handle.net/10462/deriv/257025,996974624702061
Chelmer Park [Estate],"Plan of allotments to be sold 25th August, 1923.",-27.514487,152.980921,http://hdl.handle.net/10462/deriv/257018,996974554702061
Cavendish Hill Estate,"Plan of allotments to be sold on the ground Saturday 6th March at 3 o'clock, 1915.;Land for sale is resubdivision 1 to 41 of subdivisions 3 & 15 of portion 179. Parish of Bulimba.;Auctioneers: Cameron Bros.",-27.508481,153.062661,http://hdl.handle.net/10462/deriv/253225,996972894702061
"[Dynembar Estate, plan of portion 782, Enoggera]","Plan of allotments to be sold.;Estate covers area in Red Hill.;Map consists of hand drawn map on tracing paper, glued to part of a larger estate map (probably part of locality map of an estate, around Salisbury and Coopers Plains area)",-27.453591,153.001215,http://hdl.handle.net/10462/comp/2893,996977564702061
"Russell Association Land, Hamilton and Breakfast Creek","Plan of allotments to be sold by public auction Saturday 9th July, -.;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners;Land for sale is resubdivisions 1 to 16 of allotment 5 of portion 1, Parish of Toombul. Also resubdivisions 1 to 38 of subdivisions of allotment 10 of portion 2, Parish of Toombul.",-27.438956,153.063829,http://hdl.handle.net/10462/deriv/264302,996977684702061
"Plan of subdivision of portion 296, North Brisbane","""To be sold by Mr. John Cameron at his Real Property Mart, Town Hall, on Monday, 18th December, 1876.""",-27.463785,153.013811,http://hdl.handle.net/10462/deriv/258863,996977664702061
"The Waterloo Estate, Breakfast Creek Road","Plan of allotments to be sold by auction Saturday 23rd June, 1888.;Estate covers area now in Newstead.;Land for sale is the property of the Imperial Deposit Bank Building & Investment Company of Queensland Ltd.",-27.447776,153.043876,http://hdl.handle.net/10462/deriv/264289,996977694702061
Wynnum North Fruit Farms,"Plan of 7 fruit farms to be sold Monday 22nd March, 1915.;Land for sale is subs 1 to 7 of portion 128. Parish of Tingalpa.",-27.450474,153.161191,http://hdl.handle.net/10462/deriv/253874,996978214702061
"Plan of the Whitecliff Estate, Humpy Bong",Plan of allotments to be sold (no date),-27.256086,153.107155,http://hdl.handle.net/10462/deriv/253884,996978224702061
"Grand sale, 38 allotments, Mackay","Plan of allotments to be sold on Saturday 16th December, 1882.;Land for sale is subdivisions of allotment 3 of section 60, Town of Mackay.",-21.150103,149.183604,http://hdl.handle.net/10462/deriv/253873,996978204702061
"The Railway Station Estate, Town of Southport",Plan of allotments to be sold on the ground on Monday 21st February.,-27.9642,153.413255,http://hdl.handle.net/10462/deriv/253885,996978234702061
"Framont [Estate], Logan Road","Plan of allotments to be sold on the ground 30th October, 1926.;Land for sale is subdivision of portion 188. Parish of Bulimba.",-27.520732,153.066051,http://hdl.handle.net/10462/deriv/253886,996978244702061
Brereton Hill Estate,"Plan of allotments to be sold on the ground Saturday 8th October, 1887 at 2.30 pm.",-27.474713,153.011944,http://hdl.handle.net/10462/deriv/257043,996978584702061
"Telemon Estate, Beaudesert","Plan of allotments to be sold 2nd April, 1928.;Estate covers area situated between Rathdowney and Lamington, below Beaudesert.",-28.16713,152.933625,http://hdl.handle.net/10462/deriv/257046,996978594702061
"Surry Hill Estate, Coorparoo","Land for sale is subdivisions of resubdivision A of subdivision 7 of portion 112 and resubdivision 201-203, 296-298, 300-304 and 345-350 of subdivision 1, 1A and 2a of portions 113 and 114. parish of Bulimba.;Plan of allotments to be sold.;With 3 b&w photographs of area .",-27.501682,153.058637,http://hdl.handle.net/10462/deriv/257051,996978624702061
The Dornoch Terrace Estate,"Plan of allotments to be sold (no date);Land for sale is 90 subdivisions of western suburban allotments 80, 81 and 82. Parish of South Brisbane.",-27.436591,153.002094,http://hdl.handle.net/10462/deriv/253878,996978274702061
The Collins Estate,"Plan of allotments to be sold 18th June, -.;Estate covers area now in Annerley.",-27.511826,153.035163,http://hdl.handle.net/10462/deriv/257039,996978534702061
Campbell's Pocket [Estate] Mt. Mee,"Plan of allotments to be sold 24th June, 1922.;Estate in area between Caboolture, Mt. Mee and Wamuran railway station.;B & W photographs on verso.",-27.063554,152.795137,http://hdl.handle.net/10462/deriv/207338,996978554702061
Yellow Wood Estate,"Plan of allotments to be sold 27th November, -.",-27.706437,153.235706,http://hdl.handle.net/10462/deriv/257042,996978574702061
Plan of Holmesbrook Estate,Plan of allotments to be sold by public auction at the Town Hall on Monday 16th December ...,-27.440406,152.99301,http://hdl.handle.net/10462/deriv/253876,996978294702061
St. Leonard's Estate,"Plan of allotments to be sold 22nd October. -.;Land for sale is subdivisions 1 to 28, of resubdivision C; and subdivisions 1 to 58 of re-subdivision A of subdivision 3 of portion 57. Parish of Bulimba. County of Stanley.",-27.492568,153.053142,http://hdl.handle.net/10462/deriv/253887,996978254702061
[Moggill Township],"Plan of allotments to be sold.;Map is hand drawn in ink, on tracing paper.",-27.569459,152.877114,http://hdl.handle.net/10462/deriv/264306,996978164702061
Runcorn Station Estate,Plan of allotments to be sold privately.,-27.592445,153.068583,http://hdl.handle.net/10462/deriv/257047,996978604702061
Plan of Petrie Farm Blocks,Plan of allotments to be sold privately.;Estate covers area now in Mango Hill.,-27.247643,153.02215,http://hdl.handle.net/10462/deriv/221025,996978184702061
"[Resubs, in section 3 of allotment 11, parish of Enoggera, between Bowen and Somerset Sts.] :","Plan of allotments to be sold.;Resubs include: resub 1 of sub 37 and 38, resubs 3 to 10 of subs 39 to 42, and resubs 1 to 2 of subs 43 to 46.;Estate now in Windsor.;Maps drawn by hand, in pencil, with one on tracing paper.",-27.434123,153.034236,http://hdl.handle.net/10462/comp/2891,996978144702061
Plan of Sefton Estate,Plan of allotments to be sold on the ground on Saturday 3rd October at 3 o'clock.;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners.;Estate covers area in Clayfield.;Land for sale is resubdivisions of subdivisions 2 to 3 of Portions 78 & 79 Parish of Toombul.,-27.420749,153.056542,http://hdl.handle.net/10462/deriv/258857,996977604702061
"Gourock Estate, Kedron","Plan of allotments to be sold Saturday 4th August, 1928.;Estate covers area now in Stafford.;Land for sale is resubdivisions 1 to 20 (& subdivisions A & B easements) of subdivision 1 of portion 96, Parish of Kedron.",-27.41025,153.022835,http://hdl.handle.net/10462/deriv/264291,996977714702061
Township of Riverton on the Brisbane River,"Plan of allotments to be sold by auction Saturday 26th July,-.;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners.;Estate covers area now in Chelmer.;Land for sale is Parish of Indooroopilly.",-27.509352,152.972667,http://hdl.handle.net/10462/deriv/258859,996977624702061
Wickham Estate,"Plan of allotments to be sold by auction Saturday 14th November, -.;Estate covers area in Hamilton.",-27.433904,153.073454,http://hdl.handle.net/10462/deriv/258861,996977644702061
"Plan of the Hastings Estate, Humpy Bong",Plan of allotments to be sold.;Estate covers area now in Clontarf.,-27.248826,153.087755,http://hdl.handle.net/10462/deriv/258865,996977764702061
Hendra Railway Station Estate,"Land for sale is resubdivisions 1 to 84 of subdivisions 5&10 and resubdivision 1 of subdivision A of allotments 8 & 9 of portion 5. Parish of Toombul.;Plan of allotments to be sold on the ground by public auction on Saturday 29th October, 1887.",-27.4184,153.059732,http://hdl.handle.net/10462/deriv/257034,996977914702061
Bulimba Estate fronting the Brisbane River,"Plan of allotments to be sold 21st June, [possibly 1884?];Text and sketch of area on verso.",-27.448777,153.053273,http://hdl.handle.net/10462/comp/2700,996977944702061
"Moreton Bay Estate, Scarborough, Parish of Redcliffe",Plan of allotments to be sold.,-27.19685,153.113526,http://hdl.handle.net/10462/deriv/258851,996977774702061
Waterloo Bay Estate,"Plan of allotments to be sold by auction Saturday 23rd January, 1886.;Text, locality map and sketch of area on verso.;Land for sale is portion 59 Tingalpa situated between Wynnum & E. Wynnum.",-27.441212,153.172033,http://hdl.handle.net/10462/comp/2890,996977724702061
Plan of Bulimba Ferry Road Allotments,"Plan of allotments to be sold 21st June, -.",-27.451245,153.054336,http://hdl.handle.net/10462/deriv/257036,996977954702061
"[Petrie Terrace, Govt. Land]","Plan of allotments to be sold.;Shows buildings and streets, sections and allotments.;Estate covers area now in Red Hill and Paddington.;Map is hand drawn in pencil.",-27.460653,153.01046,http://hdl.handle.net/10462/deriv/264197,996978114702061
"[Dobbyn Estate, Rocklea]","Plan of allotments to be sold [map made? 10th October, 1921];Estate covers area in Rocklea.;Hand drawn in pencil, on tracing paper.",-27.538381,153.007576,http://hdl.handle.net/10462/comp/2882,996978124702061
"Deagon [Estate], 31 ideal residential sites","Plan of allotments to be sold Saturday afternoon, 4th August, 1928.;Land for sale is resubdivisions 3-19 & 20-33 of subdivision 3 of portion 85, Parish of Nundah.",-27.327266,153.058928,http://hdl.handle.net/10462/deriv/258195,996977994702061
"'Merthyr' (New Farm), historic home of the late Sir Samuel W. Griffith, subdivision auction sale","Plan of home and grounds to be sold on the ground at Merthyr, Saturday afternoon, March 21, at 3 p.m., [1936]",-27.471567,153.043676,http://hdl.handle.net/10462/comp/2719,996977984702061
Morningside Estate,"Plan of allotments to be sold on the ground Saturday 3rd December, 1887.",-27.612345,152.78178,http://hdl.handle.net/10462/deriv/251862,996978494702061
"City View Estate, Swans Road","Land for sale is subdivsions of portions 38 and 42, of 1 to 2 acres each overlooking South Brisbane, River, and City.;Plan of allotments to be sold 30th April, -.;Estate covers area now in Indooroopilly.",-27.49852,152.979319,http://hdl.handle.net/10462/deriv/249518,996978514702061
Petrie Poultry Farms [Estate],Plan of allotments to be sold.;Estate covers area now in Kallangur.,-27.26989,152.977628,http://hdl.handle.net/10462/deriv/253916,996978334702061
"Plan of 20 splendid building sites, Brookes Street and Gregory Terrace, Bowen Hills","Plan of allotments to be sold.;Estate covers area now in Fortitude Valley.;Land for sale is subdivisions 1 to 20 of allotments 1 to 12, section 56, Parish of North Brisbane.",-27.450376,153.035109,http://hdl.handle.net/10462/deriv/259651,996978344702061
"East Woolloongabba [Estate], Darragh's Paddock","Plan of the allotments to be sold by auction Saturday 6th November, 1886.",-27.488128,153.048912,http://hdl.handle.net/10462/deriv/259664,996978484702061
Graceville Estate,"Plan of allotments to be sold Saturday 16th December, 1911.;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners.",-27.522305,152.983765,http://hdl.handle.net/10462/deriv/259654,996978374702061
"The Ruby Estate, Kelvin Grove","Plan of allotments to be sold 22nd August, 1914.;Estate covers area now in Newmarket.",-27.438957,153.009552,http://hdl.handle.net/10462/deriv/351098,996978454702061
Dinmore Township [Estate],"Plan of allotments to be sold 16th April, -.;Land for sale is  subdivision of part of portion 139, Parish of Goodna.",-27.594846,152.833418,http://hdl.handle.net/10462/deriv/257038,996978524702061
Cavendish Estate,Plan of allotments to be sold.,-27.497361,153.05735,http://hdl.handle.net/10462/deriv/257041,996978564702061
Greenwood Estate,"Plan of allotments to be sold 28th July, 1917.;Land for sale is resubdivision 1 to 68 of subdivision 2 of portion 653. Parish of Enoggera.",-27.436591,153.002094,http://hdl.handle.net/10462/deriv/253877,996978264702061
"[Rainworth Estate, Rosalie]","Plan of allotments to be sold.;Estate covers area now in Bardon.;Maps drawn by hand in pencil and ink, on tracing paper.",-27.466577,152.989412,http://hdl.handle.net/10462/deriv/264320,996978084702061
"Purdy Estate, Banyo","Plan of allotments to be sold.;Map is tracing, by hand in pen and pencil, of a printed original.",-27.375067,153.076307,http://hdl.handle.net/10462/deriv/264305,996978154702061
Plan of Stanley and Sidon streets property,"Plan of allotments to be sold on Saturday afternoon, April 6th, 1889 at 3 p.m. sharp.",-27.481689,153.025154,http://hdl.handle.net/10462/deriv/253881,996978194702061
Noble Estate,"Plan of allotments to be sold Saturday 9th January, [1886].",-27.413365,153.059914,http://hdl.handle.net/10462/deriv/258858,996977614702061
Kedron Tram Extension Estate,"Plan of allotments to be sold by auction Saturday 15th October, 1927.;Estate covers area now in Kedron and Chermside.;Land for sale is subdivisions of portion 143, Parish of Kedron.;Plan cat no. K.44.359.",-27.394562,153.034803,http://hdl.handle.net/10462/deriv/258199,996978044702061
"Plan of the Milton Estate, subdivisions of portion 14, parish of Enoggera","Plan of allotments to be sold by auction Monday 27th May, 1878.",-27.468782,153.004779,http://hdl.handle.net/10462/deriv/258862,996977654702061
Clyde Park [Estate],"Plan of allotments to be sold by auction Tuesday, 24th January, 1888.;Estate covers area somewhere around Bray Park (above Strathpine), Lawnton or Warner .;Land for sale is subdivisions 1 to 418, of portions 77 and 108, County of Stanley, Parish of Warner, close to South Pine Station, Gympie railway.",-27.287667,152.980931,http://hdl.handle.net/10462/deriv/258855,996977584702061
"Plan of the Teneriffe Estate, portion 53, north Brisbane","Plan of allotments to be sold.;Estate covers area now in Newstead and New Farm.;""Consisting of 110 splendid villa sites.""",-27.459135,153.042855,http://hdl.handle.net/10462/deriv/258188,996977844702061
First section of the Tabragalba Estate,"Plan of allotments to be sold by auction Easter Saturday, 22nd April, 1905.;Supplement to The Tweed Herald, Friday, March, 1905.;With 7 B & W photographs of area on verso, with text.",-27.976661,153.118773,http://hdl.handle.net/10462/comp/2721,996977884702061
Virginia Park Estate,Plan of allotments to be sold.;Land for sale is subdivisions of resubdivision 2 of subdivision 2 of portion 163. Parish of Toombul.,-27.382643,153.068004,http://hdl.handle.net/10462/deriv/258197,996978014702061
The Federal Estate,"Plan of allotments to be sold privately.;Land for sale is subdivisions 1 to 21 of resubdivision 18 of subdivisions 57 & 58 of portion 24, Parish of Enoggera.",-27.441163,153.010833,http://hdl.handle.net/10462/deriv/258854,996977804702061
Town Reach River sites,"Plan of allotments to be sold Saturday 22nd September, 1928.;Land for sale is resubdivision 1 to 10 & 13 to 21 of subdivision 1 of allotment 8 & of resubdivisions 21, 24. of subdivisions 1.1A of allotment 6 & 7 & of resubdivision 2 of subdivision C of suballotment 5 & of resubdivision 1 of subdivision C of S.A.5 & of subdivision 2 of S.A 6&7 & of resubdivisions 9-12 of subdivision A of S.A.4 & of resubdivision 1A of subdivisions 1 & 2 of S.A.3 of subdivision 6 of suballotment 2. Parish of South Brisbane.",-27.468838,153.034419,http://hdl.handle.net/10462/deriv/258186,996977814702061
"Camp Hill Terminus Estate, Coorparoo","Plan of allotments to be sold -, October, 1925.;Estate covers area now in Camp Hill.;Bottom left hand corner missing.",-27.491746,153.073046,http://hdl.handle.net/10462/deriv/258196,996978004702061
"Biscoe's Park Estate, Kedron","Plan of allotment to be sold by auction Saturday 29th July, 1933.;Estate covers area now in Stafford.;Land for sale is subdivisions of portion 9. Parish of Kedron.",-27.412115,153.021772,http://hdl.handle.net/10462/deriv/207337,996978024702061
"Woolloongabba Station Estate, Logan Road","Plan of allotments to be sold by auction Saturday June 1st, 1889.;Land for sale is subdivisions of resubdivisions of subdivisions of portions 168, 169, 174. Parish of South Brisbane.;""The property of the Land Bank of Queensland Ltd.""",-27.494354,153.039576,http://hdl.handle.net/10462/deriv/258190,996977864702061
Lookout Estate,Plan of allotments sold on the ground Saturday August 19th.;Estate covers area now in Windsor.;Text on verso which gives details of conditions of purchase and a brief description of the land and utilities available.,-27.429009,153.030485,http://hdl.handle.net/10462/comp/2720,996977824702061
Oxley Station Estate,"Plan of allotments to be sold Saturday 20th November, 1920.;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners.;Land for sale is subdivisions of portions 80 & 81, Parish of Oxley.",-27.55576,152.97344,http://hdl.handle.net/10462/deriv/258187,996977834702061
"[Ellendale Estate, Ashgrove] :",Plan of allotments to be sold.,-27.445349,152.990284,http://hdl.handle.net/10462/deriv/258191,996977874702061
"Nashville Heights Estate, Sandgate","Plan of allotments to be sold by auction Boxing Day, Monday 27th December, 1920.",-27.315626,153.058111,http://hdl.handle.net/10462/deriv/258192,996977894702061
Woodrow Homes Estate,"Plan of allotments to be sold.;""Right in the centre of Coorparoo."";Land for sale is resubdivisions of subdivision C of portion 53. Parish of Bulimba.",-27.487264,153.060767,http://hdl.handle.net/10462/deriv/259659,996978424702061
"Coombabah Estate, Southport","Plan of allotments to be sold by public auction at Loders Creek, Southport, on Saturday 12th February, 1887.;Estate covers area somewhere between Nerang and Southport.",-27.97413,153.39437,http://hdl.handle.net/10462/deriv/259656,996978394702061
Bremer Basin Estate,"Plan of allotments to be sold at the School of Arts Ipswich, [8th] April, [c. 189-?];Estate covers area now in Basin Pocket, Ipswich.;Land for sale is subdivisions of suburban portions 76 & 77, Ipswich.",-27.614755,152.759657,http://hdl.handle.net/10462/deriv/259657,996978404702061
Plan of Lilley's Hill [Estate],"Plan of allotments to be sold by auction Saturday 17th November, 1888.;Estate covers area now in Red Hill and Kelvin Grove.;Land for sale is subdivisions of portions 609, 614-616, 601, 563-567. Parish of Enoggera.",-27.457033,153.011374,http://hdl.handle.net/10462/deriv/259661,996978444702061
"Plan of the Rolica Estate, Wellington Point","Plan of allotments to be sold Saturday 21st December, 1889.;Land for sale is resubdivisions of subdivisions 6 to 10 of portions 64 & 65, Parish of Capalaba.;""Comprising 56 magnificent allotments.""",-27.486038,153.23885,http://hdl.handle.net/10462/deriv/259658,996978414702061
"Plan of the Garden Estate, Sandgate","Plan of allotments to be sold 12th August, -.",-27.324059,153.078829,http://hdl.handle.net/10462/deriv/259660,996978434702061
"Manly Beach, Waterloo Bay, Wyvernleigh, on the shores of Moreton Bay",Plan of allotments to be sold.,-27.456653,153.185229,http://hdl.handle.net/10462/deriv/259662,996978464702061
"Plan of the Latrobe Estate, Paddington","Plan of allotments to be sold.;Land for sale is situated on Latrobe Terrace, at the junction of Given and Enoggera Terraces.",-27.458331,152.996368,http://hdl.handle.net/10462/deriv/259655,996978384702061
The Wellesley Estate,"Plan of allotments to be sold by auction on the Prince of Wales birthday, Monday 11th November, 1889.;Land for sale is subdivisions of portions 24 & resubdivisions of subdivision 2 of portions 25, Parish of Capalaba.",-27.486017,153.226554,http://hdl.handle.net/10462/deriv/259653,996978364702061
Sketch plan of the Webb Estate,"Plan of allotments to be sold by public auction Monday 10th September, -.;Estate covers area in either South Brisbane or West End.;Land for sale is subdivisions 2, 7, 8, 9, 11, 12, 14, 16, 18, 19 and 20.",-27.48161,153.004883,http://hdl.handle.net/10462/deriv/264321,996978094702061
"[Estate, Virginia, near the station]",Plan of allotments to be sold.;Map is hand drawn in pencil and ink.,-27.376789,153.054593,http://hdl.handle.net/10462/deriv/264319,996978074702061
Nundah Hill Estate,"Plan of allotments to be sold by public auction Saturday 18th February, 1928.;Land for sale is subdivisions of portions 379 to 383, Parish of Toombul.",-27.387608,153.057205,http://hdl.handle.net/10462/deriv/258198,996978034702061
Whinstanes Junction Estate,"Plan of allotments to be sold.;Estate covers area now in Eagle Farm and Ascot.;Land for sale is resubdivisions of subdivisions 2 & 3 of allotment 12 of portion 13, Parish of Toombul.",-27.430783,153.079703,http://hdl.handle.net/10462/deriv/259650,996978054702061
"Plan of the West End Estate, South Brisbane","Plan of allotments to be sold Saturday 12th December, 1863.",-27.481818,153.009752,http://hdl.handle.net/10462/deriv/18683,996977574702061
"Glenlyon Gardens Extension, (Fraser's Paddock), Ashgrove","Plan of allotments to be sold.;Land for sale is subdivisions of portion 163 and part of portion 363, Parish of Enoggera.",-27.439687,152.982003,http://hdl.handle.net/10462/deriv/258856,996977594702061
Plan of the Red Hill Estate,Plan of allotments to be sold.,-27.448998,153.004859,http://hdl.handle.net/10462/deriv/258864,996977754702061
Northgate Extension Estate,Land for sale is portion 187. Parish of Toombul.;Estate covers area now in Banyo.,-27.375783,153.070976,http://hdl.handle.net/10462/deriv/257035,996977924702061
Bancroft Park Estate,"Plan of allotments to be sold on the ground Saturday 8th August, 1914.;Land for sale is resubdivision of subdivisions of portions 471 to 476 (Enoggera).",-27.444492,153.006045,http://hdl.handle.net/10462/deriv/207336,996977934702061
The McCook Estate,"Plan of allotments to be sold by public auction Saturday 3rd March, 1928.;Estate covers area now in Newmarket.;Land for sale is resubdivisions 2-20 & subdivisions A & B (easement) of resubdivision 2-10 0f subdivisions 34-37 s. Portion 25. Parish of Enoggera.",-27.439382,153.008161,http://hdl.handle.net/10462/deriv/258852,996977784702061
Glentanna Estate,"Plan of allotments to be sold by public auction Saturday 6th August, 1927.;Land for sale is resubdivisions 1-110 of subdivision 2 of portion 136 & 137, Parish of Kedron.",-27.394894,153.029788,http://hdl.handle.net/10462/deriv/258193,996977964702061
Mitchelton View Estate,"Plan of allotments to be sold.;Land for sale is subdivisions 1 to 79 (& resubdivisions A easements) of portion 339 & resubdivisions 1 (each) of subdivisions 6, 7, 9 & 15 & subdivisions 10 & 11 of portion 340, Parish of Enoggera.;Includes b&w photograph of area.",-27.418755,152.976782,http://hdl.handle.net/10462/deriv/258853,996977794702061
Darrima [Estate],"Plan of allotments to be sold Saturday 16th June, 1928.;Land for sale is resubdivisions of subdivisions of portions 20 & 21, Parish of Enoggera.",-27.43836,153.020668,http://hdl.handle.net/10462/deriv/258194,996977974702061
"[Estate, possibly Coorparoo]",Plan of allotments to be sold.;Estate could be in Coorparoo near the station (no place name marked on map);Map drawn by hand in pencil on tracing paper.,-27.489775,153.056296,http://hdl.handle.net/10462/deriv/264196,996978104702061
[Stupart Estate],Plan of allotments to be sold.;Also shows Rode Heights Estate marked.;Estate covers area now in Wavell Heights.;Map is hand drawn in pencil and ink.,-27.394248,153.037831,http://hdl.handle.net/10462/deriv/264248,996978134702061
"Plan of the Ithaca Creek Estate being subdivision of portion 664, Parish of Enoggera",Plan of allotments to be sold.,-27.445879,152.947248,http://hdl.handle.net/10462/deriv/253893,996978314702061
School of Arts Estate,"Plan of allotments to be sold 24th November, 1923.",-27.452852,153.061159,http://hdl.handle.net/10462/deriv/257037,996978504702061
Hastings Estate,Plan of allotments to be sold 26th July at half-past two o'clock.,-27.509627,153.031727,http://hdl.handle.net/10462/deriv/253913,996978324702061
"Plan of the Longlands Estate, Vulture St., South Brisbane","Plan of allotments to be sold Saturday 26th November, 1881.;Estate covers area now in East Brisbane.;""Comprising 232 magnificent building sites.""",-27.488056,153.044384,http://hdl.handle.net/10462/deriv/259652,996978354702061
Bayne's Paddock [Estate],"Plan of allotments to be sold Saturday 16th July, -.;Estate covers area now in Greenslopes.",-27.502753,153.046154,http://hdl.handle.net/10462/deriv/259663,996978474702061
Graceville Park [Estate],"Plan of allotments to be sold 29th October, 1887.;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners.;Land for sale is re-subdivisions 1 to 227 of subdivision 2 of portion 17, County of Stanley. Parish of Oxley.",-27.520294,152.983278,http://hdl.handle.net/10462/deriv/257040,996978544702061
West Brisbane Estate,"Land for sale is resubdivision of subdivision of portion 211, Enoggera.;Plan of allotments to be sold on the ground Saturday 31st October, -.;Estate covers area now in Paddington.",-27.459059,153.004264,http://hdl.handle.net/10462/deriv/257050,996978614702061
Mayfield Gardens Estate,Plan of allotments to be sold.;Includes 4 b&w photographs of area.,-27.530619,153.029976,http://hdl.handle.net/10462/deriv/253875,996978284702061
"[Estate, Yeerongpilly, now in Moorooka]","Plan of allotments to be sold.;Estate covers area now in Moorooka (next to boundary with Yeerongpilly);The  Yeerongpilly, now in Moorooka estate map is drawn by hand on tracing paper and glued onto an unidentified partial portion of a Redcliffe Point estate map.",-27.531863,153.01536,http://hdl.handle.net/10462/comp/2886,996978174702061
Redcliffe Jetty Estate,Plan of allotment to be sold privately.,-27.224068,153.111745,http://hdl.handle.net/10462/deriv/264318,996978064702061
Toombul Ridge Junction Estate,"Proposed new station marked on map is now Northgate station.;Plan of allotments is to be sold at auction Saturday 11th July, 1885.;Estate covers area in Northgate.",-27.391886,153.068197,http://hdl.handle.net/10462/deriv/264290,996977704702061
"Church Hill Estate, Humpy Bong","Plan of allotments to be sold.;Estate covers area now in Kippa Ring.;Land for sale is allotments of portion 201a, Parish of Redcliffe.",-27.226007,153.085249,http://hdl.handle.net/10462/deriv/258860,996977634702061
Waratah Heights Estate,"Plan of allotments to be sold.;Land for sale is subdivisions 1-90 of Eastern half of portion 180, Parish of Yeerongpilly, County of Stanley.",-27.556868,153.034206,http://hdl.handle.net/10462/deriv/264225,996990204702061
"[Paddington Estate, parish of Enoggera]",Digitised as part of the 'Henzell and Cameron Estate Maps Project' 2005.;Plan of allotments to be sold.;Estate covers area in Paddington.;Hand drawn in ink.,-27.460752,153.006128,http://hdl.handle.net/10462/deriv/18300,997029744702061
River View Estate,"Plan of allotments to be sold.;Estate covers area now in Annerley, close to Fairfield Station.;With sketch of area.",-27.507463,153.030332,http://hdl.handle.net/10462/deriv/264215,996989494702061
Cremorne Estate,"Plan of allotments to be sold by auction Saturday 1st September, -.;Estate covers area in Woolloongabba.;Land for sale is resubdivisions of subdivision 1 of portion 171, Parish of South Brisbane.",-27.493566,153.044304,http://hdl.handle.net/10462/deriv/264202,996989474702061
"Plan of 20 allotments near the Red Hill, being subdivisions of Portions 557 and 558, County of Stanley, Parish of Enoggera.","Plan of allotments to be sold Saturday, November 25, [1882];Being Subdivisions of Portions 557 and 558, County of Stanley, Parish of Enoggera.;John Cameron, auctioneer; McNaught, lithographer.;Estate covers area somewhere near Kelvin Grove region.;Cameron and Henzell no.342QSL",-27.45095,153.010711,http://hdl.handle.net/10462/comp/9719,996989484702061
